T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_24_ACS_Total,T_24_ACS_White,T_24_ACS_Hispanic,T_24_ACS_Black,T_24_ACS_Asian,T_24_ACS_Native,T_24_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
101758,92458,2579,1749,1644,2139,140,102909,93846,2817,1793,1918,1139,231,82203,75635,1683,1195,1122,1606,93,81258,76735,1882,877,934,635,8,412,561,16,8,56819,26677,26266,61382,32472,27727,63955,32552,30361,3552,21049,12890,7471,16049,9379,1253,1448
102778,93148,2600,1517,2114,2210,184,104051,95284,2915,1838,2304,1145,122,83242,76524,1769,977,1408,1629,122,83542,78785,2008,732,1241,609,11,316,506,75,11,57092,28987,23975,61078,34359,25595,62639,33135,28480,4463,21921,13208,6839,16273,8250,1255,1183
102627,88240,4939,2967,3959,1715,146,104578,87750,5448,3247,5859,849,198,80628,71039,3082,1904,2668,1270,101,80674,72153,3078,1305,3341,616,4,926,2775,56,4,54299,23202,27193,58960,29651,28304,60566,29562,30050,4071,16039,12244,8015,19400,9279,1573,1088
101789,51089,25564,22921,1470,3863,151,101818,49818,26484,23317,2069,3294,375,77857,42598,16748,16361,1079,2749,104,69508,41746,10485,15147,951,911,75,14258,782,428,75,37658,17399,18862,42786,20605,21504,37433,16496,20331,11062,28067,11209,5551,7966,2853,836,408
101827,49390,32450,18655,2165,2862,198,102013,48745,33965,17218,1869,2867,88,78357,41699,22211,12680,1599,2058,135,73308,41643,19196,10873,934,646,31,9707,868,99,31,40729,20688,18624,47424,24615,22239,41449,19327,21605,11414,24993,12223,5978,9834,4017,603,557
98733,45005,19700,22351,12317,1707,461,99043,46875,19890,19665,12047,2127,24,79253,39832,13643,16129,9685,1247,311,71920,41909,9607,12520,6793,757,0,11871,6323,319,0,39992,22953,15908,46229,26353,19328,39667,20098,18750,10187,21686,12085,5007,12386,4949,1474,767
94632,49972,21040,15859,8241,1659,181,94971,49325,21986,15373,8583,2004,152,74603,42162,14468,11776,6213,1188,127,68122,40808,11548,10108,4884,699,37,9185,4437,22,37,40386,22168,16964,48605,27243,20766,43897,21930,21125,7364,20649,11585,4284,13889,5145,1920,524
95263,80040,7465,4889,1373,1496,155,94941,79690,7854,5338,1332,1087,175,78971,68611,4731,3345,982,1082,100,76722,68636,3606,3277,798,364,4,2697,522,23,4,48722,18750,28446,57714,23941,33158,53042,20760,31342,4412,22855,13768,5494,16309,7051,1905,738
98590,66280,14697,12630,4054,2064,164,98482,64122,16267,12408,5014,2993,49,78579,55246,9933,9362,2976,1543,108,74867,54077,8418,7974,2854,1573,14,7318,2389,266,14,43117,17715,23897,52577,22597,29240,49129,19236,29097,6375,26205,14078,5768,12892,4170,772,296
95383,81448,7643,2925,1945,1494,88,97936,84564,6947,2685,2332,496,152,78860,69289,5127,1865,1397,1111,64,80178,72745,4543,1269,1314,218,15,965,962,0,15,48415,15684,31153,60327,22517,36944,58747,20406,37462,3878,24699,13836,5484,16131,7095,1469,749
